alpha|inferred_edges_expo|rmse_mean|rmse_std|baseline_rmse_mean|improvement_pct
0.0001060151228609|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0001163514664635|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.000127695590807|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0001401457532695|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0001538097912024|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0001688060559654|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0001852644380298|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0002033274920275|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.000223151671491|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.000244908683979|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0002687869783255|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0002949933768929|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0003237548669686|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0003553205668204|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0003899638834397|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0004279848806619|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0004697128781761|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0005155093039345|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0005657708246683|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0006209327816255|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0006814729612881|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0007479157337306|5000|0.8838077514385789|0.0019287918002446|1.0225233275104622|13.566006010798215
0.0008208365944622|5000|0.8838077568753249|0.001929233635985|1.0225233275104622|13.566005479099251
0.0009008671490938|5000|0.8838077568753249|0.001929233635985|1.0225233275104622|13.566005479099251
0.0009887005840037|5000|0.8838084030357279|0.0019288068467432|1.0225233275104622|13.565942286369491
0.0010850976703863|5000|0.883808397250559|0.0019293054860452|1.0225233275104622|13.565942852143277
0.0011908933536884|5000|0.8838081409700672|0.0019293057151065|1.0225233275104622|13.56596791567825
0.0013070039855069|5000|0.8838080968089403|0.0019293328201561|1.0225233275104622|13.565972234516332
0.0014344352605883|5000|0.8838074302752197|0.0019294512985864|1.0225233275104622|13.566037419701132
0.0015742909276754|5000|0.8838080943082771|0.0019291873677691|1.0225233275104622|13.565972479074397
0.0017277823496507|5000|0.8838082867947554|0.0019292477756355|1.0225233275104622|13.56595365442041
0.0018962389957823|5000|0.8838083320492002|0.0019290564310823|1.0225233275104622|13.565949228658813
0.0020811199569509|5000|0.8838080325463208|0.0019284672266895|1.0225233275104622|13.56597851922572
0.0022840265835966|5000|0.8838077009978511|0.0019287952275742|1.0225233275104622|13.566010943764187
0.0025067163558505|5000|0.883808519144719|0.001929625202226|1.0225233275104622|13.565930931226
0.0027511181059872|5000|0.8838078269776677|0.0019279948035764|1.0225233275104622|13.565998623280814
0.0030193487250466|5000|0.8838082772772806|0.0019277966337606|1.0225233275104622|13.565954585203558
0.0033137314983317|5000|0.8838073983587698|0.0019291750781469|1.0225233275104622|13.566040541043115
0.0036368162285945|5000|0.8838085852017109|0.0019298315927481|1.0225233275104622|13.56592447103188
0.0039914013212075|5000|0.8838086719035403|0.0019287378398675|1.0225233275104622|13.565915991828811
0.0043805580226126|5000|0.8838084041347148|0.0019289603566271|1.0225233275104622|13.565942178891564
0.0048076570219881|5000|0.8838095428321602|0.001928570362749|1.0225233275104622|13.565830817378854
0.0052763976465459|5000|0.8838086509603643|0.0019275918766748|1.0225233275104622|13.565918040014452
0.0057908399033346|5000|0.8838106343069458|0.0019267324706469|1.0225233275104622|13.565724074113806
0.0063554396450777|5000|0.8838103237152655|0.0019281808056092|1.0225233275104622|13.565754449135287
0.0069750871646384|5000|0.8838124530904704|0.0019296657858943|1.0225233275104622|13.565546202032492
0.0076551495523971|5000|0.8838130612776756|0.0019310413882037|1.0225233275104622|13.565486722978196
0.0084015171834206|5000|0.8838108798410209|0.0019280836229119|1.0225233275104622|13.565700061549157
0.0092206547370728|5000|0.8837998394763403|0.0019261493400769|1.0225233275104622|13.56677977918332
0.0101196571909751|5000|0.883801451522533|0.0019289477901574|1.0225233275104622|13.566622125450708
0.0111063112743081|5000|0.8838003404483941|0.0019261565491011|1.0225233275104622|13.566730785479193
0.0121891629127347|5000|0.8837959796379973|0.0019268992613918|1.0225233275104622|13.56715726087388
0.0133775912491201|5000|0.8837980349032112|0.0019300519420282|1.0225233275104622|13.56695626152662
0.01468188988118|5000|0.8837999861008615|0.0019288424236651|1.0225233275104622|13.56676543970399
0.0161133560197001|5000|0.8838033419878222|0.0019291107768268|1.0225233275104622|13.5664372430878
0.0176843883395709|5000|0.8838042637583599|0.0019326181816651|1.0225233275104622|13.566347096436582
0.0194085943711789|5000|0.883804363047418|0.0019321652205298|1.0225233275104622|13.566337386236771
0.0213009083623243|5000|0.8838057634499397|0.0019361801653583|1.0225233275104622|13.566200430679482
0.0233777206315317|5000|0.8838049997691334|0.001940367568557|1.0225233275104622|13.566275116584997
0.0256570195331476|5000|0.8838071660386635|0.0019396544120258|1.0225233275104622|13.566063261317565
0.0281585472638607|5000|0.8838024772917908|0.0019383934128457|1.0225233275104622|13.56652180800755
0.030903970860165|5000|0.8838058837974969|0.0019413121776821|1.0225233275104622|13.56618866101575
0.0339170698678645|5000|0.8838028503133668|0.0019437053927817|1.0225233275104622|13.5664853275121
