UserId,num_communities,community_ids,local_pluralistic_hom
1,0,,0.0
2,2,3;4,0.6666666666666666
3,2,0;1,0.6666666666666666
4,3,0;1;2,0.8333333333333334
5,2,0;2,0.6666666666666666
6,2,0;1,0.6666666666666666
7,1,1,0.38888888888888884
8,2,0;2,0.6666666666666666
9,0,,0.0
10,2,0;2,0.5833333333333333
11,0,,0.0
12,0,,0.0
13,0,,0.0
14,0,,0.0
15,3,0;1;2,0.7089120370370372
16,0,,0.0
17,3,0;1;2,1.0
18,0,,0.0
19,4,0;1;2;3,0.5812499999999999
20,2,0;1,0.6666666666666666
21,3,1;3;4,0.6428571428571429
22,3,0;1;2,0.9333333333333333
23,3,0;1;2,0.875
24,0,,0.0
25,0,,0.0
26,2,0;2,0.6666666666666666
27,0,,0.0
28,2,0;1,0.6666666666666666
29,0,,0.0
30,4,0;1;2;3,0.6442622950819672
31,2,0;2,0.6666666666666666
32,0,,0.0
33,3,0;1;2,0.9583333333333334
34,2,0;1,0.6666666666666666
35,0,,0.0
36,2,3;4,0.5
37,0,,0.0
38,0,,0.0
39,2,3;4,1.0
40,2,0;2,0.7777777777777777
41,3,0;1;2,1.0
42,2,0;2,0.6666666666666666
43,2,0;1,0.6249999999999999
44,0,,0.0
45,0,,0.0
46,0,,0.0
47,2,3;4,0.9166666666666666
48,3,0;1;2,0.9473684210526315
49,3,0;1;2,1.0
50,0,,0.0
51,2,0;1,0.6666666666666666
52,2,0;1,0.6666666666666666
53,2,1;2,0.6666666666666666
54,0,,0.0
55,0,,0.0
56,3,0;1;2,0.9166666666666666
57,3,0;1;2,0.8333333333333334
58,3,0;1;2,0.9166666666666666
59,0,,0.0
60,2,0;2,0.6666666666666666
61,2,0;1,0.7333333333333332
62,0,,0.0
63,2,0;2,0.6666666666666666
64,0,,0.0
65,2,1;2,0.5833333333333333
66,0,,0.0
67,2,1;3,0.6416666666666666
68,0,,0.0
69,1,0,0.3333333333333333
70,2,1;3,0.41555555555555557
71,0,,0.0
72,2,0;2,0.8333333333333334
73,3,0;1;2,0.7312925170068028
74,2,0;2,0.6666666666666666
75,3,0;1;2,1.0
76,0,,0.0
77,3,0;1;2,0.9444444444444445
78,3,0;1;2,1.0
79,0,,0.0
80,0,,0.0
81,2,0;1,0.625
82,0,,0.0
83,3,0;1;2,1.0
84,0,,0.0
85,2,3;4,0.47222222222222215
86,3,1;3;4,0.5333333333333333
87,0,,0.0
88,3,0;1;2,1.0
89,2,0;2,0.6666666666666666
90,2,0;1,0.611111111111111
91,2,0;2,0.5
92,2,1;3,0.5625
93,3,0;1;2,1.0
94,3,0;1;2,1.0
95,2,0;1,0.6333333333333332
96,0,,0.0
97,2,0;2,0.7777777777777777
98,2,0;2,0.6666666666666666
99,3,0;1;2,0.8125
100,0,,0.0
101,1,0,0.3333333333333333
102,3,0;1;2,0.7818627450980392
103,3,0;1;2,1.0
104,2,0;1,0.6666666666666666
105,3,0;1;2,0.8888888888888888
106,0,,0.0
107,0,,0.0
108,0,,0.0
109,0,,0.0
110,2,3;4,0.4769230769230769
111,3,0;1;2,1.0
112,0,,0.0
113,0,,0.0
114,0,,0.0
115,0,,0.0
116,0,,0.0
117,0,,0.0
118,2,1;2,0.6428571428571427
119,3,0;1;2,0.85
120,3,0;1;2,1.0
121,2,3;4,0.8888888888888888
122,0,,0.0
123,0,,0.0
124,2,1;2,0.6666666666666666
125,3,0;1;2,1.0
126,2,3;4,0.8333333333333333
127,0,,0.0
128,3,0;1;2,0.9583333333333333
129,0,,0.0
130,3,0;1;2,0.9090909090909091
131,0,,0.0
132,1,0,0.3333333333333333
133,3,0;1;2,1.0
134,3,0;1;2,0.75
135,0,,0.0
136,0,,0.0
137,2,1;2,0.5833333333333333
138,2,1;2,0.8333333333333333
139,2,1;2,0.5833333333333333
140,0,,0.0
141,2,0;1,0.5
142,0,,0.0
143,1,0,0.3333333333333333
144,2,3;4,0.8333333333333333
145,0,,0.0
146,2,0;2,0.6666666666666666
147,0,,0.0
148,3,0;1;2,1.0
149,2,1;2,0.5555555555555556
150,3,0;1;2,1.0
151,0,,0.0
152,2,0;2,0.6666666666666666
153,2,0;1,0.6666666666666666
154,0,,0.0
155,0,,0.0
156,1,0,0.3333333333333333
157,3,0;1;2,1.0
158,0,,0.0
159,1,0,0.3333333333333333
160,2,0;1,0.6249999999999999
161,1,3,0.3939393939393939
162,0,,0.0
163,0,,0.0
164,0,,0.0
165,3,0;1;2,0.9722222222222222
166,2,0;1,0.6666666666666666
167,0,,0.0
168,2,1;3,0.7333333333333333
169,2,0;2,0.6666666666666666
170,0,,0.0
171,2,0;1,0.5833333333333333
172,0,,0.0
173,0,,0.0
174,0,,0.0
175,2,0;1,0.6666666666666666
176,3,0;1;2,1.0
177,3,0;1;2,0.8366666666666667
178,3,0;1;2,1.0
179,0,,0.0
180,0,,0.0
181,0,,0.0
182,3,1;3;4,0.7619047619047619
183,0,,0.0
184,0,,0.0
185,3,0;1;2,0.9166666666666666
186,0,,0.0
187,3,0;1;2,0.9166666666666667
188,1,4,0.38095238095238093
189,3,0;1;2,0.7416666666666667
190,2,0;2,0.6666666666666666
191,0,,0.0
192,0,,0.0
193,1,0,0.3333333333333333
194,0,,0.0
195,3,0;1;2,0.9761904761904763
196,2,0;1,0.6249999999999999
197,2,0;2,0.6666666666666666
198,2,0;2,0.6666666666666666
199,3,0;1;2,0.9666666666666668
200,2,0;2,0.6666666666666666
201,3,0;1;2,1.0
