alpha|inferred_edges_ray|rmse_mean|rmse_std|baseline_rmse_mean|improvement_pct
3.2429494313593323e-06|5000|0.8826152591668569|0.0020318604829962|0.8839847755286925|0.1549253335292452
3.5591329974732776e-06|5000|0.8826166244152465|0.0020317102809124|0.8839847755286925|0.1547708910063244
3.906144070952517e-06|5000|0.8826160278606029|0.0020314714225855|0.8839847755286925|0.1548383757255285
4.28698829570841e-06|5000|0.8826164647148648|0.0020317040958856|0.8839847755286925|0.1547889569714991
4.704964362223164e-06|5000|0.882615023444408|0.0020319077204524|0.8839847755286925|0.1549519994238872
5.163692579228749e-06|5000|0.8826162849046059|0.0020315671925608|0.8839847755286925|0.1548092978488403
5.667146231089199e-06|5000|0.8826154172553977|0.0020317823406503|0.8839847755286925|0.1549074499021523
6.219685992489025e-06|5000|0.8826171299808351|0.0020312652692503|0.8839847755286925|0.15471369934391
6.826097698511163e-06|5000|0.8826164444161687|0.0020316614901905|0.8839847755286925|0.1547912532436318
7.491633797250982e-06|5000|0.8826156112536367|0.0020320714706668|0.8839847755286925|0.1548855040220422
8.222058844009013e-06|5000|0.8826173654822309|0.002032265085147|0.8839847755286925|0.1546870584557015
9.023699431111164e-06|5000|0.8826148796260764|0.0020317954777054|0.8839847755286925|0.1549682687461152
9.903498985824898e-06|5000|0.8826156351365734|0.0020320326715751|0.8839847755286925|0.1548828022858484
1.0869077911004544e-05|5000|0.8826158060832239|0.0020321070358441|0.8839847755286925|0.1548634640964096
1.192879958937534e-05|5000|0.8826166528672346|0.0020327813265857|0.8839847755286925|0.1547676724002029
1.3091842823153515e-05|5000|0.8826167398870604|0.0020333996630155|0.8839847755286925|0.1547578283589706
1.4368281336440091e-05|5000|0.8826167038340136|0.0020327239518135|0.8839847755286925|0.1547619068281669
1.5769171028999927e-05|5000|0.8826159033770097|0.002032110464813|0.8839847755286925|0.1548524578224896
1.7306645737176295e-05|5000|0.8826142846601147|0.0020322254584005|0.8839847755286925|0.1550355737470824
1.899402233137662e-05|5000|0.8826176492934996|0.0020325074725647|0.8839847755286925|0.1546549525556265
2.0845916060433392e-05|5000|0.882614954439455|0.0020325008173272|0.8839847755286925|0.1549598055484816
2.287836714189753e-05|5000|0.8826144827265143|0.0020320625122894|0.8839847755286925|0.1550131676598852
2.5108979694729456e-05|5000|0.8826154866343616|0.0020319936480586|0.8839847755286925|0.1548996014679
2.755707421775575e-05|5000|0.8826153899461421|0.0020328675905321|0.8839847755286925|0.1549105392376692
3.024385493458748e-05|5000|0.8826148928098589|0.0020328276275027|0.8839847755286925|0.1549667773423178
3.3192593454460856e-05|5000|0.8826148265789259|0.0020322253769027|0.8839847755286925|0.1549742696583514
3.64288303397837e-05|5000|0.8826138214042316|0.0020332689652399|0.8839847755286925|0.1550879791612844
3.9980596326268543e-05|5000|0.8826113917977587|0.0020329655557975|0.8839847755286925|0.1553628262559581
4.387865511175597e-05|5000|0.882611760927848|0.0020330817782841|0.8839847755286925|0.1553210687393705
4.8156769816647776e-05|5000|0.8826128625048065|0.0020333275349273|0.8839847755286925|0.1551964538151055
5.285199542390413e-05|5000|0.8826108980527486|0.0020328335857557|0.8839847755286925|0.1554186807258277
5.8004999731579465e-05|5000|0.882612874790125|0.002033363688164|0.8839847755286925|0.1551950640492668
6.366041559783356e-05|5000|0.8826131889691318|0.0020336365726489|0.8839847755286925|0.1551595228255367
6.986722752939711e-05|5000|0.8826137074772749|0.0020344117032094|0.8839847755286925|0.1551008670480344
7.667919596193585e-05|5000|0.8826103315621511|0.0020338891292115|0.8839847755286925|0.155482764476275
8.415532290722477e-05|5000|0.8826110017749805|0.0020334218579229|0.8839847755286925|0.1554069472395974
9.236036300034856e-05|5000|0.8826133895381206|0.0020340602809989|0.8839847755286925|0.1551368336351327
0.0001013653843733|5000|0.8826131510451484|0.0020346636603368|0.8839847755286925|0.155163812942793
0.0001112483842135|5000|0.8826123309067608|0.0020336970916318|0.8839847755286925|0.1552565903763235
0.0001220949643374|5000|0.8826122006865249|0.0020349764447433|0.8839847755286925|0.1552713214259448
0.0001339990726332|5000|0.8826144985721853|0.0020347583226453|0.8839847755286925|0.1550113751322947
0.0001470638167921|5000|0.8826144033881069|0.0020344721878368|0.8839847755286925|0.1550221427474202
0.0001614023573781|5000|0.8826140662482601|0.0020344351305796|0.8839847755286925|0.1550602813959751
0.0001771388879701|5000|0.882614249380828|0.0020345712510046|0.8839847755286925|0.1550395646853532
0.000194409710868|5000|0.8826146995972101|0.0020343994559304|0.8839847755286925|0.1549886343532335
0.0002133644176775|5000|0.8826159074301045|0.0020347206943145|0.8839847755286925|0.1548519993196995
0.0002341671850012|5000|0.8826155497107298|0.002035013514409|0.8839847755286925|0.1548924660092502
0.0002569981964578|5000|0.8826156522360302|0.0020353080244312|0.8839847755286925|0.1548808679248363
0.0002820552033464|5000|0.8826151215418351|0.0020352580186235|0.8839847755286925|0.1549409022387562
0.0003095552374736|5000|0.8826148882732328|0.0020337396593605|0.8839847755286925|0.1549672905441637
0.0003397364909792|5000|0.882614152874449|0.002034262321832|0.8839847755286925|0.155050481884571
0.0003728603794426|5000|0.8826142837290571|0.0020350401563598|0.8839847755286925|0.1550356790721502
0.0004092138061395|5000|0.8826147439922106|0.0020346426336|0.8839847755286925|0.1549836122078534
0.0004491116470609|5000|0.8826148814082581|0.0020346046160772|0.8839847755286925|0.1549680671383869
0.0004928994782178|5000|0.8826145376337324|0.0020346684282491|0.8839847755286925|0.1550069563291445
0.0005409565688563|5000|0.8826134339059465|0.0020341418053872|0.8839847755286925|0.1551318145638675
0.0005936991665051|5000|0.8826147311527839|0.0020345985025882|0.8839847755286925|0.1549850646567077
0.0006515841023136|5000|0.8826146037434519|0.0020346253032007|0.8839847755286925|0.1549994777252922
0.0007151127479041|5000|0.8826138542388102|0.0020340579217188|0.8839847755286925|0.1550842647784669
0.0007848353580131|5000|0.8826128830762874|0.0020346224580732|0.8839847755286925|0.1551941266844329
0.0008613558365347|5000|0.8826144698717133|0.0020344524631453|0.8839847755286925|0.1550146218479388
0.0009453369672471|5000|0.8826152229766302|0.0020345821515693|0.8839847755286925|0.1549294275168009
0.0010375061545286|5000|0.8826156107806172|0.0020339465482756|0.8839847755286925|0.1548855575319584
0.0011386617237866|5000|0.8826160560148338|0.0020349284193072|0.8839847755286925|0.1548351908029228
0.00124967983617|5000|0.8826153404551599|0.0020340470144772|0.8839847755286925|0.1549161378614885
0.0013715220774581|5000|0.8826166000323787|0.0020340837039097|0.8839847755286925|0.1547736492967837
0.0015052437868568|5000|0.8826154635669285|0.0020348182115899|0.8839847755286925|0.1549022109509718
0.0016520031978414|5000|0.8826159489634611|0.0020347643892287|0.8839847755286925|0.154847300895283
0.0018130714702215|5000|0.8826172154651708|0.0020342344920466|0.8839847755286925|0.1547040290036408
0.0019898437003188|5000|0.8826163336806031|0.0020348918271936|0.8839847755286925|0.1548037801070655
0.0021838510046241|5000|0.882617843481094|0.0020345862073202|0.8839847755286925|0.1546329852548637
0.0023967737815957|5000|0.8826164849986128|0.0020350912284896|0.8839847755286925|0.1547866623903507
0.0026304562664674|5000|0.8826176712185585|0.0020343567290559|0.8839847755286925|0.1546524723026305
0.0028869225051314|5000|0.8826171770386271|0.0020352641970649|0.8839847755286925|0.1547083759725919
0.0031683938854559|5000|0.8826178753157621|0.0020346403319652|0.8839847755286925|0.1546293839860404
0.0034773083778836|5000|0.8826190715343782|0.0020345487977966|0.8839847755286925|0.1544940628075228
0.0038163416519659|5000|0.8826198977524529|0.0020352165722329|0.8839847755286925|0.1544005976147395
0.0041884302517323|5000|0.8826203686284684|0.0020349660875266|0.8839847755286925|0.1543473301797623
0.00459679703063|5000|0.8826199783601287|0.0020341671053096|0.8839847755286925|0.1543914789423258
0.0050449790663386|5000|0.8826187615354254|0.0020344382019403|0.8839847755286925|0.1545291311663252
0.0055368582972449|5000|0.8826198136290342|0.0020343753687976|0.8839847755286925|0.1544101140024652
0.0060766951459362|5000|0.8826197126611481|0.0020345362716018|0.8839847755286925|0.154421535905743
0.0066691654209427|5000|0.8826207512087754|0.002034599342562|0.8839847755286925|0.154304051119129
0.0073194008163536|5000|0.8826212352222444|0.0020346048866436|0.8839847755286925|0.1542492975212752
0.0080330333600969|5000|0.8826217544891349|0.0020344296215427|0.8839847755286925|0.1541905559111411
0.0088162441958709|5000|0.8826209616617362|0.0020343895555456|0.8839847755286925|0.1542802438130914
0.0096758171212537|5000|0.8826207132858699|0.002034019276055|0.8839847755286925|0.1543083411144471
0.0106191973457125|5000|0.882621145875391|0.0020341042772703|0.8839847755286925|0.1542594048054666
