alpha|inferred_edges_power|rmse_mean|rmse_std|baseline_rmse_mean|improvement_pct
1.0|0|0.8831291280793749|0.0020388475673663|0.8872056286983033|0.4594764152825969
1.0404040404040404|5000|0.8830770904433367|0.0020308263196027|0.8872056286983033|0.4653417563438992
1.0808080808080809|5000|0.8830774312656677|0.0020300580024427|0.8872056286983033|0.4653033410859253
1.121212121212121|5000|0.8830777382377348|0.0020306539008553|0.8872056286983033|0.4652687412077043
1.1616161616161615|5000|0.8830772896181791|0.0020304279086699|0.8872056286983033|0.4653193066618916
1.202020202020202|5000|0.8830774982143705|0.0020308943451252|0.8872056286983033|0.4652957950672078
1.2424242424242424|5000|0.8830769082299461|0.002029938051561|0.8872056286983033|0.4653622942422966
1.2828282828282829|5000|0.8830772795847487|0.0020310309315711|0.8872056286983033|0.4653204375643673
1.323232323232323|5000|0.8830759602474958|0.0020298535994959|0.8872056286983033|0.4654691446070433
1.3636363636363638|5000|0.8830772411762139|0.0020305689586085|0.8872056286983033|0.465324766722519
1.404040404040404|5000|0.8830771187363415|0.0020301139277826|0.8872056286983033|0.4653385673419461
1.4444444444444444|5000|0.8830779498455463|0.0020301991929408|0.8872056286983033|0.4652448901629577
1.4848484848484849|5000|0.8830776035364962|0.0020304606601879|0.8872056286983033|0.4652839238479233
1.5252525252525253|5000|0.8830775826281828|0.0020298019274912|0.8872056286983033|0.4652862804958906
1.5656565656565655|5000|0.8830770554094824|0.0020305304215447|0.8872056286983033|0.4653457051301928
1.606060606060606|5000|0.8830767836131391|0.002030296995372|0.8872056286983033|0.4653763402315187
1.6464646464646466|5000|0.883076643464603|0.0020300189286999|0.8872056286983033|0.4653921368553876
1.6868686868686869|5000|0.8830770180263243|0.0020307704434669|0.8872056286983033|0.4653499187146107
1.7272727272727273|5000|0.8830762698386501|0.0020300926540856|0.8872056286983033|0.4654342495224931
1.7676767676767675|5000|0.883077423568381|0.0020299899490702|0.8872056286983033|0.4653042086736014
1.808080808080808|5000|0.8830771594589715|0.0020303544742227|0.8872056286983033|0.4653339773541667
1.8484848484848488|5000|0.8830772254982264|0.0020300997819708|0.8872056286983033|0.4653265338424466
1.8888888888888888|5000|0.8830776539755327|0.0020304507766872|0.8872056286983033|0.4652782386905176
